city;orientacao;vidro;WWR;briseh;brisev;Heating;Cooling;InteriorLights;InteriorEquipment;Fans;TotalElectricity
BH;N;0.8;0.4;0;0;0;1476;752;1002;140;3370
BH;N;0.8;0.5;0;0;0;1617;752;1002;154;3526
BH;N;0.8;0.6;0;0;0;1754;752;1002;168;3676
BH;N;0.8;0.4;10;0;0;1179;752;1002;110;3043
BH;N;0.8;0.5;10;0;0;1323;752;1002;125;3201
BH;N;0.8;0.6;10;0;0;1459;752;1002;138;3351
BH;N;0.8;0.4;20;0;0;1036;752;1002;96;2886
BH;N;0.8;0.5;20;0;0;1126;752;1002;105;2985
BH;N;0.8;0.6;20;0;0;1231;752;1002;111;3097
BH;N;0.8;0.4;30;0;0;987;752;1002;90;2832
BH;N;0.8;0.5;30;0;0;1046;752;1002;97;2897
BH;N;0.8;0.6;30;0;0;1152;752;1002;108;3013
BH;N;0.8;0.4;0;4;0;1327;752;1002;125;3206
BH;N;0.8;0.5;0;4;0;1441;752;1002;137;3331
BH;N;0.8;0.6;0;4;0;1550;752;1002;148;3451
BH;N;0.8;0.4;0;6;0;1244;752;1002;117;3115
BH;N;0.8;0.5;0;6;0;1343;752;1002;127;3224
BH;N;0.8;0.6;0;6;0;1437;752;1002;136;3327
BH;N;0.8;0.4;0;8;0;1176;752;1002;110;3041
BH;N;0.8;0.5;0;8;0;1264;752;1002;119;3137
BH;N;0.8;0.6;0;8;0;1346;752;1002;127;3227
BH;N;0.7;0.4;0;0;0;1391;752;1002;132;3277
BH;N;0.7;0.5;0;0;0;1514;752;1002;144;3412
BH;N;0.7;0.6;0;0;0;1632;752;1002;156;3542
BH;N;0.7;0.4;10;0;0;1127;752;1002;105;2986
BH;N;0.7;0.5;10;0;0;1254;752;1002;118;3126
BH;N;0.7;0.6;10;0;0;1373;752;1002;130;3257
BH;N;0.7;0.4;20;0;0;1006;752;1002;92;2852
BH;N;0.7;0.5;20;0;0;1088;752;1002;101;2943
BH;N;0.7;0.6;20;0;0;1165;752;1002;109;3028
BH;N;0.7;0.4;30;0;0;963;752;1002;87;2804
BH;N;0.7;0.5;30;0;0;1012;752;1002;93;2860
BH;N;0.7;0.6;30;0;0;1104;752;1002;103;2961
BH;N;0.7;0.4;0;4;0;1261;752;1002;119;3134
BH;N;0.7;0.5;0;4;0;1361;752;1002;129;3243
BH;N;0.7;0.6;0;4;0;1455;752;1002;138;3347
BH;N;0.7;0.4;0;6;0;1188;752;1002;112;3054
BH;N;0.7;0.5;0;6;0;1274;752;1002;120;3149
BH;N;0.7;0.6;0;6;0;1355;752;1002;128;3238
BH;N;0.7;0.4;0;8;0;1128;752;1002;106;2988
BH;N;0.7;0.5;0;8;0;1205;752;1002;113;3072
BH;N;0.7;0.6;0;8;0;1275;752;1002;120;3149
BH;N;0.6;0.4;0;0;0;1327;752;1002;126;3206
BH;N;0.6;0.5;0;0;0;1436;752;1002;136;3326
BH;N;0.6;0.6;0;0;0;1542;752;1002;147;3443
BH;N;0.6;0.4;10;0;0;1086;752;1002;101;2942
BH;N;0.6;0.5;10;0;0;1201;752;1002;113;3068
BH;N;0.6;0.6;10;0;0;1308;752;1002;123;3185
BH;N;0.6;0.4;20;0;0;983;752;1002;89;2826
BH;N;0.6;0.5;20;0;0;1058;752;1002;97;2909
BH;N;0.6;0.6;20;0;0;1129;752;1002;105;2988
BH;N;0.6;0.4;30;0;0;944;752;1002;85;2783
BH;N;0.6;0.5;30;0;0;987;752;1002;90;2831
BH;N;0.6;0.6;30;0;0;1067;752;1002;99;2920
BH;N;0.6;0.4;0;4;0;1211;752;1002;114;3079
BH;N;0.6;0.5;0;4;0;1299;752;1002;123;3176
BH;N;0.6;0.6;0;4;0;1382;752;1002;131;3268
BH;N;0.6;0.4;0;6;0;1145;752;1002;107;3006
BH;N;0.6;0.5;0;6;0;1222;752;1002;115;3091
BH;N;0.6;0.6;0;6;0;1293;752;1002;122;3169
BH;N;0.6;0.4;0;8;0;1090;752;1002;102;2946
BH;N;0.6;0.5;0;8;0;1158;752;1002;109;3021
BH;N;0.6;0.6;0;8;0;1220;752;1002;115;3089
BH;N;0.5;0.4;0;0;0;1272;752;1002;120;3147
