city;orientacao;vidro;WWR;briseh;brisev;Heating;Cooling;InteriorLights;InteriorEquipment;Fans;TotalElectricity
Fln;N;0.8;0.4;0;0;0;1342;752;1002;102;3198
Fln;N;0.8;0.5;0;0;0;1452;752;1002;114;3319
Fln;N;0.8;0.6;0;0;0;1553;752;1002;125;3432
Fln;N;0.8;0.4;10;0;0;1123;752;1002;81;2958
Fln;N;0.8;0.5;10;0;0;1228;752;1002;90;3072
Fln;N;0.8;0.6;10;0;0;1326;752;1002;100;3180
Fln;N;0.8;0.4;20;0;0;994;752;1002;70;2819
Fln;N;0.8;0.5;20;0;0;1087;752;1002;78;2920
Fln;N;0.8;0.6;20;0;0;1183;752;1002;87;3025
Fln;N;0.8;0.4;30;0;0;925;752;1002;65;2743
Fln;N;0.8;0.5;30;0;0;995;752;1002;71;2820
Fln;N;0.8;0.6;30;0;0;1091;752;1002;80;2925
Fln;N;0.8;0.4;0;4;0;1239;752;1002;90;3082
Fln;N;0.8;0.5;0;4;0;1326;752;1002;99;3179
Fln;N;0.8;0.6;0;4;0;1408;752;1002;109;3271
Fln;N;0.8;0.4;0;6;0;1171;752;1002;85;3010
Fln;N;0.8;0.5;0;6;0;1250;752;1002;93;3097
Fln;N;0.8;0.6;0;6;0;1321;752;1002;101;3176
Fln;N;0.8;0.4;0;8;0;1119;752;1002;81;2954
Fln;N;0.8;0.5;0;8;0;1187;752;1002;87;3028
Fln;N;0.8;0.6;0;8;0;1248;752;1002;95;3097
Fln;N;0.7;0.4;0;0;0;1272;752;1002;95;3121
Fln;N;0.7;0.5;0;0;0;1368;752;1002;105;3228
Fln;N;0.7;0.6;0;0;0;1460;752;1002;115;3329
Fln;N;0.7;0.4;10;0;0;1076;752;1002;76;2907
Fln;N;0.7;0.5;10;0;0;1169;752;1002;85;3007
Fln;N;0.7;0.6;10;0;0;1256;752;1002;93;3103
Fln;N;0.7;0.4;20;0;0;961;752;1002;67;2782
Fln;N;0.7;0.5;20;0;0;1040;752;1002;74;2868
Fln;N;0.7;0.6;20;0;0;1124;752;1002;82;2960
Fln;N;0.7;0.4;30;0;0;900;752;1002;62;2716
Fln;N;0.7;0.5;30;0;0;959;752;1002;67;2780
Fln;N;0.7;0.6;30;0;0;1042;752;1002;75;2871
Fln;N;0.7;0.4;0;4;0;1175;752;1002;85;3014
Fln;N;0.7;0.5;0;4;0;1251;752;1002;93;3098
Fln;N;0.7;0.6;0;4;0;1322;752;1002;102;3178
Fln;N;0.7;0.4;0;6;0;1118;752;1002;81;2953
Fln;N;0.7;0.5;0;6;0;1183;752;1002;88;3025
Fln;N;0.7;0.6;0;6;0;1244;752;1002;95;3093
Fln;N;0.7;0.4;0;8;0;1069;752;1002;77;2900
Fln;N;0.7;0.5;0;8;0;1126;752;1002;83;2963
Fln;N;0.7;0.6;0;8;0;1179;752;1002;89;3023
Fln;N;0.6;0.4;0;0;0;1218;752;1002;90;3062
Fln;N;0.6;0.5;0;0;0;1304;752;1002;99;3156
Fln;N;0.6;0.6;0;0;0;1386;752;1002;107;3247
Fln;N;0.6;0.4;10;0;0;1041;752;1002;73;2868
Fln;N;0.6;0.5;10;0;0;1123;752;1002;80;2957
Fln;N;0.6;0.6;10;0;0;1202;752;1002;88;3043
Fln;N;0.6;0.4;20;0;0;936;752;1002;65;2755
Fln;N;0.6;0.5;20;0;0;1006;752;1002;71;2831
Fln;N;0.6;0.6;20;0;0;1080;752;1002;78;2912
