city;orientacao;vidro;WWR;briseh;brisev;Heating;Cooling;InteriorLights;InteriorEquipment;Fans;TotalElectricity
Ssa;N;0.8;0.4;0;0;0;1596;752;1002;120;3470
Ssa;N;0.8;0.5;0;0;0;1677;752;1002;129;3560
Ssa;N;0.8;0.6;0;0;0;1756;752;1002;139;3649
Ssa;N;0.8;0.4;10;0;0;1522;752;1002;104;3380
Ssa;N;0.8;0.5;10;0;0;1586;752;1002;110;3450
Ssa;N;0.8;0.6;10;0;0;1645;752;1002;116;3514
Ssa;N;0.8;0.4;20;0;0;1480;752;1002;101;3335
Ssa;N;0.8;0.5;20;0;0;1543;752;1002;107;3404
Ssa;N;0.8;0.6;20;0;0;1604;752;1002;113;3471
Ssa;N;0.8;0.4;30;0;0;1452;752;1002;100;3306
Ssa;N;0.8;0.5;30;0;0;1514;752;1002;105;3373
Ssa;N;0.8;0.6;30;0;0;1581;752;1002;112;3446
Ssa;N;0.8;0.4;0;4;0;1477;752;1002;107;3338
Ssa;N;0.8;0.5;0;4;0;1540;752;1002;114;3408
Ssa;N;0.8;0.6;0;4;0;1601;752;1002;122;3477
Ssa;N;0.8;0.4;0;6;0;1527;752;1002;104;3384
Ssa;N;0.8;0.5;0;6;0;1580;752;1002;109;3443
Ssa;N;0.8;0.6;0;6;0;1529;752;1002;115;3397
Ssa;N;0.8;0.4;0;8;0;1511;752;1002;102;3368
Ssa;N;0.8;0.5;0;8;0;1562;752;1002;107;3424
Ssa;N;0.8;0.6;0;8;0;1612;752;1002;112;3478
Ssa;N;0.7;0.4;0;0;0;1556;752;1002;116;3426
Ssa;N;0.7;0.5;0;0;0;1629;752;1002;125;3508
Ssa;N;0.7;0.6;0;0;0;1703;752;1002;133;3590
Ssa;N;0.7;0.4;10;0;0;1504;752;1002;102;3359
Ssa;N;0.7;0.5;10;0;0;1563;752;1002;107;3424
Ssa;N;0.7;0.6;10;0;0;1616;752;1002;113;3483
Ssa;N;0.7;0.4;20;0;0;1462;752;1002;99;3315
Ssa;N;0.7;0.5;20;0;0;1520;752;1002;104;3378
Ssa;N;0.7;0.6;20;0;0;1576;752;1002;110;3440
Ssa;N;0.7;0.4;30;0;0;1435;752;1002;98;3287
Ssa;N;0.7;0.5;30;0;0;1492;752;1002;102;3348
Ssa;N;0.7;0.6;30;0;0;1553;752;1002;109;3415
Ssa;N;0.7;0.4;0;4;0;1449;752;1002;105;3307
Ssa;N;0.7;0.5;0;4;0;1500;752;1002;111;3365
Ssa;N;0.7;0.6;0;4;0;1555;752;1002;118;3428
Ssa;N;0.7;0.4;0;6;0;1508;752;1002;102;3364
Ssa;N;0.7;0.5;0;6;0;1558;752;1002;106;3418
Ssa;N;0.7;0.6;0;6;0;1504;752;1002;113;3372
Ssa;N;0.7;0.4;0;8;0;1494;752;1002;100;3348
Ssa;N;0.7;0.5;0;8;0;1541;752;1002;105;3400
Ssa;N;0.7;0.6;0;8;0;1583;752;1002;110;3447
Ssa;N;0.6;0.4;0;0;0;1524;752;1002;113;3391
Ssa;N;0.6;0.5;0;0;0;1592;752;1002;121;3467
